id,common_code,rakuten_sku,product_name,choice_info,created_at
529,CM004,CHOICE_W05,エゾ鹿レバースライス 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581066', 'sync_date': '2025-08-12T03:56:45.598559+00:00', 'choice_code': 'W05', 'choice_name': 'W05 Choice', 'choice_value': 'エゾ鹿レバースライス 30g', 'rakuten_sku_admin': '1763'}",2025-08-12T03:56:45.598559+00:00
530,CM020,CHOICE_W06,スライスサーモン 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581158', 'sync_date': '2025-08-12T03:56:45.665787+00:00', 'choice_code': 'W06', 'choice_name': 'W06 Choice', 'choice_value': 'スライスサーモン 30g', 'rakuten_sku_admin': '1715'}",2025-08-12T03:56:45.665787+00:00
531,CM019,CHOICE_W07,スティックサーモン 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581165', 'sync_date': '2025-08-12T03:56:45.731775+00:00', 'choice_code': 'W07', 'choice_name': 'W07 Choice', 'choice_value': 'スティックサーモン 30g', 'rakuten_sku_admin': '1714'}",2025-08-12T03:56:45.731775+00:00
532,CM018,CHOICE_W08,ひとくちサーモン 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581172', 'sync_date': '2025-08-12T03:56:45.781599+00:00', 'choice_code': 'W08', 'choice_name': 'W08 Choice', 'choice_value': 'ひとくちサーモン 30g', 'rakuten_sku_admin': '1713'}",2025-08-12T03:56:45.781599+00:00
533,CM022,CHOICE_W09,フレークサーモン 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581189', 'sync_date': '2025-08-12T03:56:45.871282+00:00', 'choice_code': 'W09', 'choice_name': 'W09 Choice', 'choice_value': 'フレークサーモン 30g', 'rakuten_sku_admin': '1718'}",2025-08-12T03:56:45.871282+00:00
534,CM021,CHOICE_W10,鮭白子スライス 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581196', 'sync_date': '2025-08-12T03:56:45.931964+00:00', 'choice_code': 'W10', 'choice_name': 'W10 Choice', 'choice_value': '鮭白子スライス 30g', 'rakuten_sku_admin': '1716'}",2025-08-12T03:56:45.931964+00:00
535,CM024,CHOICE_W11,鶏ささみスライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581219', 'sync_date': '2025-08-12T03:56:45.999023+00:00', 'choice_code': 'W11', 'choice_name': 'W11 Choice', 'choice_value': '鶏ささみスライスジャーキー 30g', 'rakuten_sku_admin': '1723'}",2025-08-12T03:56:45.999023+00:00
536,CM025,CHOICE_W12,鶏むねスライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581233', 'sync_date': '2025-08-12T03:56:46.066645+00:00', 'choice_code': 'W12', 'choice_name': 'W12 Choice', 'choice_value': '鶏むねスライスジャーキー 30g', 'rakuten_sku_admin': '1848'}",2025-08-12T03:56:46.066645+00:00
537,CM023,CHOICE_W13,鶏の砂肝ジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581226', 'sync_date': '2025-08-12T03:56:46.137887+00:00', 'choice_code': 'W13', 'choice_name': 'W13 Choice', 'choice_value': '鶏の砂肝ジャーキー 30g', 'rakuten_sku_admin': '1722'}",2025-08-12T03:56:46.137887+00:00
538,CM026,CHOICE_W14,豚ハツスライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581240', 'sync_date': '2025-08-12T03:56:46.198114+00:00', 'choice_code': 'W14', 'choice_name': 'W14 Choice', 'choice_value': '豚ハツスライスジャーキー 30g', 'rakuten_sku_admin': '1725'}",2025-08-12T03:56:46.198114+00:00
539,CM027,CHOICE_W15,豚レバースライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581257', 'sync_date': '2025-08-12T03:56:46.264336+00:00', 'choice_code': 'W15', 'choice_name': 'W15 Choice', 'choice_value': '豚レバースライスジャーキー 30g', 'rakuten_sku_admin': '1726'}",2025-08-12T03:56:46.264336+00:00
540,CM028,CHOICE_W16,豚耳スライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581264', 'sync_date': '2025-08-12T03:56:46.331908+00:00', 'choice_code': 'W16', 'choice_name': 'W16 Choice', 'choice_value': '豚耳スライスジャーキー 30g', 'rakuten_sku_admin': '1727'}",2025-08-12T03:56:46.331908+00:00
541,CM036,CHOICE_W17,馬肉スライスジャーキー 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581363', 'sync_date': '2025-08-12T03:56:46.398746+00:00', 'choice_code': 'W17', 'choice_name': 'W17 Choice', 'choice_value': '馬肉スライスジャーキー 30g', 'rakuten_sku_admin': '1768'}",2025-08-12T03:56:46.398746+00:00
542,CM037,CHOICE_W18,ころころ馬肉ミンチ 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581370', 'sync_date': '2025-08-12T03:56:46.448215+00:00', 'choice_code': 'W18', 'choice_name': 'W18 Choice', 'choice_value': 'ころころ馬肉ミンチ 30g', 'rakuten_sku_admin': '1769'}",2025-08-12T03:56:46.448215+00:00
543,CM030,CHOICE_W19,ひとくち牛タン皮 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581318', 'sync_date': '2025-08-12T03:56:46.520853+00:00', 'choice_code': 'W19', 'choice_name': 'W19 Choice', 'choice_value': 'ひとくち牛タン皮 30g', 'rakuten_sku_admin': '1761'}",2025-08-12T03:56:46.520853+00:00
544,CM031,CHOICE_W20,ころころ牛タン皮 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581325', 'sync_date': '2025-08-12T03:56:46.581818+00:00', 'choice_code': 'W20', 'choice_name': 'W20 Choice', 'choice_value': 'ころころ牛タン皮 30g', 'rakuten_sku_admin': '1762'}",2025-08-12T03:56:46.581818+00:00
545,CM029,CHOICE_W21,牛タン皮ふりかけ 30g,"{'category': 'google_sheets_sync', 'jan_code': '4573265581301', 'sync_date': '2025-08-12T03:56:46.649779+00:00', 'choice_code': 'W21', 'choice_name': 'W21 Choice', 'choice_value': '牛タン皮ふりかけ 30g', 'rakuten_sku_admin': '1760'}",2025-08-12T03:56:46.649779+00:00
