choice_code,choice_name,choice_value,category,common_code,product_name,rakuten_sku,total_quantity,frequency
★メール便のため同梱不可です:了承済み,選択肢_1,★メール便のため同梱不可です:了承済み,auto_extracted,CM501,★メール便のため同梱不可です:了承済み,CHOICE_CM501,1167,1167
☆宅急便コンパクトまたは宅配便での配送となります。　配送方法はお選びいただけません。:了承済み,選択肢_2,☆宅急便コンパクトまたは宅配便での配送となります。　配送方法はお選びいただけません。:了承済み,auto_extracted,CM502,☆宅急便コンパクトまたは宅配便での配送となります。　配送方法はお選びいただけません。:了承済み,CHOICE_CM502,168,165
"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チップ10g
★4つ目※クマザサふりかけはこちら:N06チキンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_3,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チッ",auto_extracted,CM503,"★1つ目:N01エゾ鹿チップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N05白子チッ",CHOICE_CM503,126,105
"◆１:R11 鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちらからお選びください）:R11 鶏ささみスライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_4,"鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちらからお",auto_extracted,CM504,"鶏ささみスライス30g
◆２:R11 鶏ささみスライス30g
◆３:R11 鶏ささみスライス30g
◆４（※レトルトはこちらからお",CHOICE_CM504,105,72
★お好きな１袋をお選びください:R06.スティックサーモン 10g,選択肢_5,スティックサーモン 10g,auto_extracted,CM505,スティックサーモン 10g,CHOICE_CM505,90,15
"◆１:R12 鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちらからお選びください）:R12 鶏むねスライス30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_6,"鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちらからお",auto_extracted,CM506,"鶏むねスライス30g
◆２:R12 鶏むねスライス30g
◆３:R12 鶏むねスライス30g
◆４（※レトルトはこちらからお",CHOICE_CM506,90,69
"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N03サーモンチップ10g
★4つ目※クマザサふりかけはこちら:N03.サーモンチップ 10g
☆メール便のため同梱不可です:了承済み",選択肢_7,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N03サーモ",auto_extracted,CM507,"★1つ目:N03サーモンチップ10g
★2つ目:N03.サーモンチップ10g
★3つ目:N03サーモ",CHOICE_CM507,84,63
"◆１:R03 ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちらからお選びください）:R03 ころころエゾ鹿ミンチ30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_8,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちらからお",auto_extracted,CM508,"ころころエゾ鹿ミンチ30g
◆２:R03 ころころエゾ鹿ミンチ30g
◆３:R03 ころころエゾ鹿ミンチ30g
◆４（※レトルトはこちらからお",CHOICE_CM508,84,66
"◆１:R08 ひとくちサーモン30g
◆２:R08 ひとくちサーモン30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお選びください）:R08 ひとくちサーモン30g
【ご注意】37〜44のレトルトは、お選びいただく４袋中、1袋のみ選択可能。:確認済
★メール便のため同梱不可です:了承済み",選択肢_9,"ひとくちサーモン30g
◆２:R08 ひとくちサーモン30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお",auto_extracted,CM509,"ひとくちサーモン30g
◆２:R08 ひとくちサーモン30g
◆３:R08 ひとくちサーモン30g
◆４（※レトルトはこちらからお",CHOICE_CM509,75,54
"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:M05 白子チップ 3g(猫)
★4つ目:M06 チキンチップ3g(猫)
※メール便のため同梱不可です:了承済
※おためしのため重複不可:了承済み",選択肢_10,"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:",auto_extracted,CM510,"★1つ目:M01 エゾ鹿チップ 3g(猫)
★2つ目:M03 サーモンチップ 3g(猫)
★3つ目:",CHOICE_CM510,72,63
